,time_since_begin,total_ops
0,1.2,0.01
1,1.3,0.22999999999999998
2,1.4,1.31
3,1.5,3.58
4,1.6,6.28
5,1.7,8.45
6,1.8,8.600000000000001
7,1.9,8.29
8,2.0,6.869999999999997
9,2.1,5.400000000000006
10,2.2,4.469999999999999
11,2.3,3.3399999999999963
12,2.4,2.520000000000003
13,2.5,1.9299999999999997
14,2.6,1.6899999999999977
15,2.7,1.460000000000008
16,2.8,1.1999999999999886
17,2.9,1.0100000000000051
18,3.0,0.7999999999999972
19,3.1,0.7400000000000091
20,3.2,0.6999999999999886
21,3.3,0.5400000000000063
22,3.4,0.5799999999999983
23,3.5,0.4899999999999949
24,3.6,0.5200000000000102
25,3.7,0.46999999999999886
26,3.8,0.3299999999999983
27,3.9,0.37999999999999545
28,4.0,0.4000000000000057
29,4.1,0.37999999999999545
30,4.2,0.29999999999999716
31,4.3,0.3299999999999983
32,4.4,0.3100000000000023
33,4.5,0.3500000000000085
34,4.6,0.22999999999998977
35,4.7,0.28000000000000114
36,4.8,0.2400000000000091
37,4.9,0.25
38,5.0,0.22999999999998977
39,5.1,0.2400000000000091
40,5.2,0.20999999999999375
41,5.3,0.2400000000000091
42,5.4,0.19999999999998863
43,5.5,0.23000000000000398
44,5.6,0.18999999999999773
45,5.7,0.18999999999999773
46,5.8,0.27000000000001023
47,5.9,0.28999999999999204
48,6.0,0.3100000000000023
49,6.1,0.29000000000000625
50,6.2,0.2599999999999909
51,6.3,0.2600000000000051
52,6.4,0.29999999999999716
53,6.5,0.2600000000000051
54,6.6,0.28000000000000114
55,6.7,0.29999999999999716
56,6.8,0.3999999999999915
57,6.9,0.3100000000000023
58,7.0,0.3100000000000023
59,7.1,0.3100000000000023
60,7.2,0.45999999999999375
61,7.3,0.38000000000000966
62,7.4,0.39000000000000057
63,7.5,0.37999999999999545
64,7.6,0.45999999999999375
65,7.7,0.46000000000000796
66,7.8,0.4399999999999977
67,7.9,0.4000000000000057
68,8.0,0.46999999999999886
69,8.1,0.4899999999999949
70,8.2,0.5
71,8.3,0.5100000000000051
72,8.4,0.5600000000000023
73,8.5,0.5499999999999972
74,8.6,0.5799999999999983
75,8.7,0.519999999999996
76,8.8,0.519999999999996
77,8.9,0.6000000000000085
78,9.0,0.5699999999999932
79,9.1,0.5799999999999983
80,9.2,0.6099999999999994
81,9.3,0.5100000000000051
82,9.4,0.6000000000000085
83,9.5,0.5999999999999943
84,9.6,0.7099999999999937
85,9.7,0.6000000000000085
86,9.8,0.5900000000000034
87,9.9,0.5899999999999892
88,10.0,2.3299999999999983
